scientific_name,native_provinces
Androsace septentrionalis,AB|BC|MB|NT|NU|ON|QC|SK|YT
Anemonastrum canadense,AB|BC|MB|NB|NS|NT|NU|ON|PE|QC|SK
Anemonastrum richardsonii,AB|BC|MB|NT|NU|ON|QC|SK|YT
Anemonastrum sibiricum,AB|BC|NT|YT
Anemonastrum villosissimum,BC
Anemone cylindrica,AB|BC|MB|ON|QC|SK
Anemone drummondii,AB|BC|NT|YT
Anemone lyallii,BC
Anemone multiceps,YT
Anemone multifida,AB|BC|MB|NB|NS|NT|NU|ON|QC|SK|YT
Anemone parviflora,AB|BC|MB|NB|NS|NT|NU|ON|QC|SK|YT
Anemone piperi,BC
Anemone quinquefolia,AB|MB|NB|NS|ON|QC|SK
Anemone virginiana,AB|BC|MB|NB|NS|ON|QC|SK
Angelica arguta,AB|BC
Angelica atropurpurea,NB|NS|NU|ON|PE|QC
Angelica dawsonii,AB|BC
Angelica genuflexa,AB|BC
Angelica lucida,BC|NB|NS|NT|PE|PM|QC|YT
Anisocarpus madioides,BC
Antennaria alpina,AB|BC|NT|NU|QC|YT
Antennaria anaphaloides,AB|BC|SK
Antennaria aromatica,AB
Antennaria corymbosa,AB|BC|SK
Antennaria densifolia,AB|NT|YT
Antennaria dimorpha,AB|BC|SK
Antennaria flagellaris,BC
Antennaria friesiana,NT|NU|QC|YT
Antennaria howellii,AB|BC|MB|NB|NS|NT|ON|PE|PM|QC|SK|YT
Antennaria lanata,AB|BC
Antennaria luzuloides,AB|BC
Antennaria media,AB|BC|NT|YT
Antennaria microphylla,AB|BC|MB|NT|NU|ON|SK|YT
Antennaria monocephala,AB|BC|NT|NU|QC|YT
Antennaria neglecta,AB|BC|MB|NB|NS|NT|ON|QC|SK
Antennaria parlinii,MB|NB|NS|ON|QC
Antennaria parvifolia,AB|BC|MB|ON|SK
Antennaria pulcherrima,AB|BC|MB|NT|NU|ON|QC|SK|YT
Antennaria racemosa,AB|BC
Antennaria rosea,AB|BC|MB|NT|NU|ON|QC|SK|YT
Antennaria umbrinella,AB|BC|SK
Antennaria ×erigeroides,BC
Anthoxanthum arcticum,MB|NT|NU|ON|QC|YT
Anthoxanthum hirtum,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Anthoxanthum monticola,AB|BC|MB|NT|NU|ON|PM|QC|YT
Anthoxanthum nitens,NB|NS|ON|PE|PM|QC
Anticlea elegans,AB|BC|MB|NB|NT|ON|QC|SK|YT
Anticlea occidentalis,AB|BC
Aphanes occidentalis,BC
Aphragmus eschscholtzianus,BC|YT
Aphyllon californicum,BC
Aphyllon corymbosum,AB|BC
Aphyllon fasciculatum,AB|BC|MB|ON|SK|YT
Aphyllon franciscanum,BC
Aphyllon ludovicianum,AB|BC|MB|SK
Aphyllon pinorum,BC
Aphyllon purpureum,AB|BC|MB|SK
Aphyllon uniflorum,BC|NB|NS|ON|PE|PM|QC
Apios americana,NB|NS|ON|PE|QC
Aplectrum hyemale,ON|QC
Apocynum androsaemifolium,AB|BC|MB|NB|NS|NT|ON|PE|QC|SK|YT
Apocynum cannabinum,AB|BC|MB|NB|NS|NT|ON|QC|SK
Apocynum ×floribundum,AB|BC|MB|NB|NS|ON|QC|SK
Aquilegia brevistyla,AB|BC|MB|NT|ON|SK|YT
Aquilegia canadensis,MB|ON|QC|SK
Aquilegia flavescens,AB|BC
Aquilegia formosa,AB|BC|YT
Aquilegia jonesii,AB
Aquilegia ×miniana,BC
Arabidopsis arenicola,MB|NT|NU|ON|QC|SK
Arabidopsis lyrata,AB|BC|MB|NT|ON|SK|YT
Arabis adpressipilis,ON
Arabis alpina,MB|NU|ON|QC
Arabis eschscholtziana,AB|BC|YT
Arabis nuttallii,AB|BC|YT
Arabis pycnocarpa,AB|BC|MB|NB|NS|NT|ON|QC|SK|YT
Aralia hispida,MB|NB|NS|ON|PE|QC|SK
Aralia nudicaulis,AB|BC|MB|NB|NS|NT|ON|PE|PM|QC|SK|YT
Aralia racemosa,MB|NB|NS|ON|PE|QC
Arbutus menziesii,BC
Arceuthobium americanum,AB|BC|MB|ON|SK
Arceuthobium campylopodum,BC
Arceuthobium douglasii,BC
Arceuthobium pusillum,MB|NB|NS|ON|PE|QC|SK
Arctagrostis latifolia,AB|BC|MB|NT|NU|ON|QC|YT
Arcteranthis cooleyae,BC
Arctophila fulva,BC|MB|NT|NU|ON|QC|YT
Arctopoa eminens,BC|NU|QC
Arctostaphylos columbiana,BC
Arctostaphylos uva-ursi,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Arctostaphylos ×media,BC
Arctous alpina,BC|MB|NT|NU|ON|PM|QC|YT
Arctous rubra,AB|BC|MB|NT|NU|ON|PM|QC|SK|YT
Arenaria humifusa,MB|NS|NT|NU|ON|QC
Arenaria longipedunculata,AB|BC|NT|NU|YT
Arethusa bulbosa,AB|MB|NB|NS|NT|ON|PE|PM|QC|SK
Argentina anserina,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Argentina pacifica,BC|NB|NS|PE|QC
Argentina subarctica,AB|MB|NT|SK|YT
Arisaema dracontium,ON|QC
Arisaema stewardsonii,NB|NS|PE|QC
Arisaema triphyllum,MB|NB|NS|ON|PE|QC
Aristida basiramea,ON|QC
Aristida dichotoma,ON
Aristida longespica,ON
Aristida purpurascens,ON
Aristida purpurea,AB|BC|MB|SK
Armeria maritima,BC|MB|NT|NU|ON|QC|SK|YT
Arnica angustifolia,AB|BC|MB|NT|NU|ON|QC|SK|YT
Arnica chamissonis,AB|BC|MB|NT|ON|QC|SK|YT
Arnica cordifolia,AB|BC|MB|NT|ON|SK|YT
Arnica fulgens,AB|BC|MB|SK
Arnica gracilis,AB|BC
Arnica griscomii,BC|NT|NU|QC|YT
Arnica lanceolata,AB|BC|NB|QC|YT
Arnica latifolia,AB|BC|NT|YT
Arnica lessingii,BC|NT|YT
Arnica lonchophylla,AB|BC|MB|NB|NS|NT|NU|ON|QC|SK|YT
Arnica longifolia,AB|BC
Arnica louiseana,AB|BC
Arnica mollis,AB|BC|NT|YT
Arnica ovata,AB|BC|YT
Arnica parryi,AB|BC|YT
Arnica rydbergii,AB|BC
Arnica sororia,AB|BC|SK
Arnoglossum plantagineum,ON
Aronia arbutifolia,NB|NS|ON|PM|QC
Aronia melanocarpa,NB|NS|ON|PE|QC
Aronia ×prunifolia,NB|NS|ON|PE|QC
Artemisia alaskana,BC|NT|YT
Artemisia borealis,AB|BC|NT|NU|ON|SK|YT
Artemisia campestris,AB|BC|MB|NB|NS|NT|NU|ON|PM|QC|SK|YT
Artemisia cana,AB|MB|SK
Artemisia comata,YT
Artemisia douglasiana,BC
Artemisia dracunculus,AB|BC|MB|NT|ON|SK|YT
Artemisia frigida,AB|BC|MB|NT|ON|SK|YT
Artemisia globularia,YT
Artemisia glomerata,YT
Artemisia hyperborea,AB|BC|NT|NU|YT
Artemisia laciniata,YT
Artemisia longifolia,AB|BC|MB|SK
Artemisia ludoviciana,AB|BC|MB|NT|ON|SK
Artemisia michauxiana,AB|BC|SK|YT
Artemisia norvegica,AB|BC|NT|YT
Artemisia suksdorfii,BC
Artemisia tilesii,AB|BC|MB|NT|NU|ON|QC|YT
Artemisia tridentata,AB|BC
Artemisia tripartita,BC
Artemisia woodii,YT
Aruncus dioicus,BC|YT
Asarum canadense,MB|NB|ON|QC
Asarum caudatum,BC
Asclepias exaltata,ON|QC
Asclepias hirtella,ON
Asclepias incarnata,MB|NB|NS|ON|PE|QC
Asclepias lanuginosa,MB
Asclepias ovalifolia,AB|MB|ON|SK
Asclepias purpurascens,ON
Asclepias quadrifolia,ON
Asclepias speciosa,AB|BC|MB|SK
Asclepias speciosa × Asclepias syriaca,MB
Asclepias sullivantii,ON
Asclepias syriaca,MB|NB|NS|ON|QC|SK
Asclepias tuberosa,ON|QC
Asclepias verticillata,MB|ON|SK
Asclepias viridiflora,AB|MB|ON|SK
Asimina triloba,ON
Askellia elegans,AB|BC|MB|NT|YT
Askellia pygmaea,AB|BC|NT|NU|YT
Aspidotis densa,BC|QC
Asplenium adulterinum,BC
Asplenium platyneuron,ON|QC
Asplenium quadrivalens,BC|ON|QC
Asplenium rhizophyllum,ON|QC
Asplenium ruta-muraria,NB|ON|QC
Asplenium scolopendrium,ON
Asplenium trichomanes,BC|NB|NS|ON|QC
Asplenium viride,AB|BC|NB|NS|NT|ON|QC|YT
Aster alpinus,AB|BC|NT|ON|YT
Astragalus agrestis,AB|BC|MB|NT|ON|QC|SK|YT
Astragalus alpinus,AB|BC|MB|NB|NT|NU|ON|QC|SK|YT
Astragalus americanus,AB|BC|MB|NT|ON|QC|SK|YT
Astragalus australis,AB|BC|MB|NT|NU|ON|QC|SK|YT
Astragalus beckwithii,BC
Astragalus bisulcatus,AB|MB|SK
Astragalus bodinii,AB|MB|NT|SK|YT
Astragalus bourgovii,AB|BC
Astragalus canadensis,AB|BC|MB|NT|ON|QC|SK
Astragalus collinus,BC
Astragalus crassicarpus,AB|BC|MB|SK
Astragalus drummondii,AB|BC|SK
Astragalus eucosmus,AB|BC|MB|NB|NT|NU|ON|QC|SK|YT
Astragalus filipes,BC
Astragalus flexuosus,AB|MB|SK
Astragalus gilviflorus,AB|MB|SK
Astragalus gracilis,SK
Astragalus kentrophyta,AB|SK
Astragalus laxmannii,AB|BC|MB|NT|SK|YT
Astragalus lentiginosus,BC
Astragalus lotiflorus,AB|BC|MB|SK
Astragalus microcystis,BC
Astragalus miser,AB|BC
Astragalus missouriensis,AB|BC|MB|SK
Astragalus multiflorus,AB|BC|MB|NT|ON|SK|YT
Astragalus neglectus,MB|ON
Astragalus nutzotinensis,BC|YT
Astragalus pectinatus,AB|MB|SK
Astragalus purshii,AB|BC|SK
Astragalus racemosus,SK
Astragalus robbinsii,AB|BC|NS|YT
Astragalus sclerocarpus,BC
Astragalus spaldingii,BC
Astragalus spatulatus,AB|SK
Astragalus umbellatus,BC|NT|YT
Astragalus vexilliflexus,AB|BC|SK
Astragalus williamsii,YT
Athyrium angustum,MB|NB|NS|ON|PE|PM|QC|SK
Athyrium cyclosorum,AB|BC|MB|NT|ON|QC|SK|YT
Athysanus pusillus,BC
Atriplex argentea,AB|BC|MB|SK
Atriplex canescens,AB
Atriplex dioica,AB|BC|MB|NB|NS|NT|ON|PE|QC|SK|YT
Atriplex gardneri,AB|BC|MB|SK
Atriplex glabriuscula,AB|MB|NB|NS|ON|PE|PM|QC
Atriplex gmelinii,BC|NT|YT
Atriplex powellii,AB|SK
Atriplex prostrata,NB|NS|PE|QC
Atriplex suckleyi,AB|SK
Atriplex truncata,AB|BC|SK
Aureolaria flava,ON
Aureolaria pedicularia,ON
Aureolaria virginica,ON
Avenella flexuosa,NB|NS|NU|ON|PE|PM|QC
Azolla cristata,ON
Azolla filiculoides,BC
Baccharis halimifolia,NS
Bacopa rotundifolia,AB
Balsamorhiza deltoidea,BC
Balsamorhiza sagittata,AB|BC
Baptisia tinctoria,ON
Barbarea orthoceras,AB|BC|MB|NB|NT|NU|ON|QC|SK|YT
Bartonia paniculata,NB|NS|ON|PM
Bartonia virginica,NB|NS|ON|PM|QC
Bartsia alpina,MB|NU|ON|QC
Beckmannia syzigachne,AB|BC|MB|NB|NS|NT|ON|QC|SK|YT
Berula incisa,BC
Betula alleghaniensis,NB|NS|ON|PE|PM|QC
Betula cordifolia,NB|NS|ON|PE|PM|QC
Betula glandulosa,AB|BC|MB|NB|NS|NT|NU|ON|QC|SK|YT
Betula kenaica,YT
Betula lenta,ON
Betula michauxii,NB|NS|PM|QC
Betula minor,NB|NS|ON|QC
Betula murrayana,ON
Betula nana,AB|BC|NT|NU|SK|YT
Betula occidentalis,AB|BC|MB|NT|NU|ON|SK|YT
Betula papyrifera,AB|BC|MB|NB|NS|NT|ON|PE|PM|QC|SK|YT
Betula pendula,AB|BC|MB|NT|NU|ON|SK|YT
Betula populifolia,NB|NS|ON|PE|QC
Betula pumila,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Betula ×borggreveana,NB|NS|QC
Betula ×caerulea-grandis,NB|NS|PE|QC
Betula ×commixta,AB|NT|YT
Betula ×dugleana,SK|YT
Betula ×dutillyi,NS|QC
Betula ×eastwoodae,AB|BC|NT|NU|SK|YT
Betula ×hornei,BC
Betula ×purpusii,ON
Betula ×raymundii,QC
Betula ×sandbergii,AB|BC|MB|ON|QC|SK
Betula ×sargentii,AB|BC|MB|NT|ON|QC|SK|YT
Betula ×ungavensis,NS|QC|SK
Betula ×utahensis,AB|BC|SK
Betula ×winteri,AB|BC|MB|NT|SK
Bidens amplissima,BC
Bidens beckii,BC|MB|NB|NS|ON|QC|SK
Bidens cernua,AB|BC|MB|NB|NS|NT|ON|PE|QC|SK|YT
Bidens comosa,AB|BC|NS|ON|PE|QC
Bidens connata,NB|NS|ON|QC
Bidens discoidea,NB|NS|ON|QC
Bidens eatonii,NB|QC
Bidens frondosa,AB|BC|MB|NB|NS|ON|PE|QC|SK
Bidens heterodoxa,PE|QC
Bidens hyperborea,NB|NS|ON|QC
Bidens infirma,QC
Bidens trichosperma,ON
Bidens vulgata,AB|BC|MB|NB|NS|ON|QC|SK
Bistorta bistortoides,AB|BC
Bistorta plumosa,NT|YT
Bistorta vivipara,AB|BC|MB|NB|NS|NT|NU|ON|PM|QC|SK|YT
Blephilia ciliata,ON
Blephilia hirsuta,ON
Blitum capitatum,AB|BC|MB|NB|NS|NT|NU|ON|QC|SK|YT
Blitum nuttallianum,AB|MB|NT|SK|YT
Blysmus rufus,AB|MB|NB|NS|NT|NU|ON|PE|QC|SK|YT
Boechera calderi,AB|BC|NT|YT
Boechera cascadensis,BC
Boechera collinsii,AB|BC|MB|ON|QC|SK
Boechera drepanoloba,AB|BC|YT
Boechera grahamii,AB|BC|MB|NB|NT|ON|QC|SK|YT
Boechera lemmonii,AB|BC|YT
Boechera lyallii,AB|BC|YT
Boechera macounii,BC
Boechera microphylla,BC
Boechera pauciflora,BC|YT
Boechera pendulocarpa,AB|BC|YT
Boechera polyantha,BC
Boechera quebecensis,QC
Boechera retrofracta,AB|BC|MB|NT|ON|QC|SK|YT
Boechera sparsiflora,BC
Boechera stricta,AB|BC|MB|NB|NS|NT|ON|QC|SK|YT
Boehmeria cylindrica,NB|NS|ON|QC
Bolboschoenus fluviatilis,AB|BC|MB|NB|ON|QC|SK
Bolboschoenus maritimus,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK
Bolboschoenus maritimus × Bolboschoenus robustus,NS
Boltonia asteroides,MB|SK
Borodinia canadensis,ON|QC
Borodinia dentata,ON
Borodinia laevigata,ON|QC
Boschniakia rossica,AB|BC|NT|YT
Botrychium alaskense,BC|YT
Botrychium ascendens,AB|BC|ON|QC|SK|YT
Botrychium campestre,AB|BC|NB|ON|QC|SK|YT
Botrychium crenulatum,AB|BC|ON
Botrychium hesperium,AB|BC|SK|YT
