scientific_name,native_provinces
Carex aquatilis var. aquatilis × Carex stricta,MB|QC
Carex aquatilis var. dives × Carex kelloggii var. kelloggii,BC
Carex aquatilis var. dives × Carex lyngbyei,BC
Carex arcta,AB|BC|MB|NB|NT|ON|QC|SK|YT
Carex arctata,MB|NB|NS|ON|PE|PM|QC
Carex arctiformis,BC
Carex arctogena,AB|BC|MB|NT|NU|ON|QC|SK|YT
Carex argyrantha,NS|ON|QC
Carex assiniboinensis,MB|ON|SK
Carex atherodes,AB|BC|MB|NT|ON|QC|SK|YT
Carex athrostachya,AB|BC|MB|SK
Carex atlantica,NS|ON|PE|QC
Carex atratiformis,AB|BC|MB|NB|NS|NT|ON|QC|YT
Carex atrofusca,MB|NT|NU|ON|QC|YT
Carex atrosquama,AB|BC|NT|YT
Carex atrosquama × Carex media,YT
Carex aurea,AB|BC|MB|NB|NS|NT|NU|ON|PE|QC|SK|YT
Carex backii,AB|BC|MB|NB|ON|QC|SK
Carex baileyi,QC
Carex bebbii,AB|BC|MB|NB|NS|NT|ON|PE|PM|QC|SK|YT
Carex bebbii × Carex cristatella,SK
Carex bicknellii,MB|ON
Carex bicolor,AB|BC|MB|NT|NU|ON|QC|SK|YT
Carex bigelowii,BC|MB|NB|NT|NU|ON|QC|SK|YT
Carex bigelowii subsp. bigelowii × Carex ×subsalina,QC
Carex bigelowii subsp. lugens × Carex scopulorum,YT
Carex billingsii,NB|NS|ON|PE|QC
Carex blanda,MB|ON|QC
Carex bolanderi,BC
Carex bonanzensis,NT|YT
Carex borealipolaris,AB|BC|NT|NU|YT
Carex brevior,AB|BC|MB|NB|ON|QC|SK
Carex brevior × Carex foenea,SK
Carex bromoides,NB|NS|ON|QC
Carex brunnescens,AB|BC|MB|NB|NS|NT|NU|ON|PE|QC|SK|YT
Carex brunnescens subsp. brunnescens × Carex canescens subsp. canescens,NB
Carex bullata,NS
Carex buxbaumii,AB|BC|MB|NB|NS|NT|ON|PE|PM|QC|SK|YT
Carex buxbaumii × Carex stricta,NB
Carex canescens,AB|BC|MB|NB|NS|NT|NU|ON|PE|QC|SK|YT
Carex canescens subsp. canescens × Carex praeceptorum,BC
Carex canescens subsp. canescens × Carex trisperma,NB
Carex capillaris,AB|BC|MB|NB|NS|NT|NU|ON|PM|QC|SK|YT
Carex capitata,AB|BC|MB|NT|NU|ON|QC|SK|YT
Carex careyana,ON
Carex castanea,MB|NB|NS|ON|QC
Carex castanea × Carex debilis,ON
Carex cephaloidea,NB|ON|QC
Carex cephalophora,ON|QC
Carex chordorrhiza,AB|BC|MB|NB|NT|NU|ON|PE|PM|QC|SK|YT
Carex circinata,BC
Carex communis,NB|NS|ON|QC
Carex comosa,BC|NB|NS|ON|QC
Carex concinna,AB|BC|MB|NB|NT|NU|ON|QC|SK|YT
Carex concinnoides,AB|BC
Carex conoidea,MB|NB|NS|ON|PM|QC
Carex cordillerana,AB|BC
Carex crawei,AB|BC|MB|NB|ON|QC|SK
Carex crawfordii,AB|BC|MB|NB|NS|NT|ON|PE|PM|QC|SK|YT
Carex crinita,MB|NB|NS|ON|PE|QC
Carex crinita var. crinita × Carex lenticularis,NB
Carex crinita × Carex gynandra,QC
Carex cristatella,MB|ON|QC|SK
Carex crus-corvi,ON
Carex cryptolepis,MB|NB|NS|ON|QC|SK
Carex cumulata,MB|NB|NS|ON|PE|QC
Carex cumulata × Carex foenea,NS
Carex cumulata × Carex scoparia,NS
Carex cusickii,BC
Carex davisii,ON
Carex debilis,NB|NS|ON|PE|PM|QC
Carex deflexa,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Carex deweyana,AB|BC|MB|NB|NS|NT|ON|PE|QC|SK|YT
Carex diandra,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Carex digitalis,NS|ON|QC
Carex disperma,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Carex douglasii,AB|BC|MB|SK
Carex duriuscula,AB|BC|MB|NT|ON|SK|YT
Carex eburnea,AB|BC|MB|NB|NS|NT|ON|QC|SK|YT
Carex echinata,AB|BC|NB|NS|ON|PE|PM|QC|SK
Carex echinata subsp. echinata × Carex exilis,ON|QC
Carex echinodes,MB|ON|QC|SK
Carex eleusinoides,NT|YT
Carex emoryi,MB|ON
Carex enanderi,AB|BC|YT
Carex engelmannii,BC
Carex epapillosa,AB|BC
Carex exilis,NB|NS|ON|PM|QC
Carex exsiccata,BC
Carex exsiccata × Carex rostrata,BC
Carex festucacea,ON
Carex feta,BC
Carex filifolia,AB|BC|MB|NT|SK|YT
Carex flava,AB|BC|MB|NB|NS|NU|ON|PE|PM|QC|YT
Carex foenea,AB|BC|MB|NB|NS|NT|NU|ON|PE|QC|SK|YT
Carex foenea × Carex praticola,SK
Carex foenea × Carex tenera var. tenera,SK
Carex foenea × Carex xerantica,SK
Carex folliculata,NB|NS|ON|PE|PM|QC
Carex formosa,ON|QC
Carex frankii,ON
Carex fuliginosa,AB|BC|MB|NT|NU|ON|QC|YT
Carex garberi,AB|BC|MB|NB|NT|NU|ON|QC|SK|YT
Carex geyeri,AB|BC
Carex glacialis,AB|BC|MB|NT|NU|ON|QC|SK|YT
Carex glareosa,BC|MB|NB|NT|NU|ON|PM|QC|YT
Carex glaucodea,ON
Carex gmelinii,BC
Carex gracilescens,ON
Carex gracillima,MB|NB|NS|ON|PE|PM|QC
Carex granularis,MB|NB|NS|ON|QC|SK
Carex gravida,MB|ON|SK
Carex grayi,ON|QC
Carex grisea,NB|ON|QC
Carex gynandra,NB|NS|ON|PE|PM|QC
Carex hallii,MB
Carex hassei,BC
Carex haydeniana,AB|BC
Carex haydenii,NB|ON|QC
Carex heleonastes,AB|BC|MB|NT|ON|QC|SK|YT
Carex hendersonii,BC
Carex heteroneura,AB|BC
Carex hirsutella,ON|QC
Carex hirtifolia,NB|NS|ON|QC
Carex hitchcockiana,ON|QC
Carex holostoma,NT|NU|QC|YT
Carex hoodii,AB|BC|NT|SK|YT
Carex hookeriana,AB|MB|SK
Carex hormathodes,NB|NS|PE|PM|QC
Carex hostiana,PM|QC
Carex houghtoniana,AB|MB|NB|NS|ON|QC|SK
Carex hyalinolepis,ON
Carex hystericina,AB|BC|MB|NB|NS|ON|PE|QC|SK
Carex hystericina × Carex lupulina,ON
Carex hystericina × Carex pseudocyperus,ON
Carex hystericina × Carex schweinitzii,ON
Carex hystericina × Carex utriculata,ON
Carex illota,AB|BC
Carex incurviformis,AB|BC|YT
Carex infirminervia,AB|BC
Carex inops,AB|BC|MB|ON|SK
Carex interior,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Carex interior × Carex sterilis,SK
Carex interrupta,BC
Carex intumescens,MB|NB|NS|ON|PE|PM|QC
Carex jamesii,ON
Carex jonesii,BC
Carex juniperorum,ON
Carex kelloggii,AB|BC|YT
Carex kelloggii var. kelloggii × Carex spectabilis,BC
Carex krauseorum,BC|MB|NT|NU|ON|QC|YT
Carex lachenalii,AB|BC|MB|NB|NT|NU|ON|QC|YT
Carex lacustris,AB|BC|MB|NB|NS|ON|QC|SK
Carex lacustris × Carex trichocarpa,ON
Carex laeviconica,MB|ON|SK
Carex laeviculmis,BC
Carex laevivaginata,ON
Carex lapponica,AB|BC|MB|NT|QC|YT
Carex lasiocarpa,AB|BC|MB|NB|NS|NT|ON|PM|QC|SK|YT
Carex laxa,NT|YT
Carex laxiculmis,ON|QC
Carex laxiflora,NS|ON|QC
Carex leavenworthii,ON
Carex lenticularis,AB|MB|NB|NS|NT|ON|PE|PM|QC|SK
Carex lenticularis × Carex saxatilis,QC
Carex leporina,BC
Carex leptalea,AB|BC|MB|NB|NS|NT|NU|ON|PM|QC|SK|YT
Carex leptonervia,MB|NB|NS|ON|PE|PM|QC
Carex leptopoda,BC
Carex limosa,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Carex livida,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Carex loliacea,AB|BC|MB|NT|ON|SK|YT
Carex longii,NS|ON
Carex lucorum,NB|NS|ON|QC
Carex lupuliformis,ON|QC
Carex lupulina,NB|NS|ON|QC
Carex lupulina × Carex lurida,QC
Carex lupulina × Carex retrorsaa,ON|QC
Carex lurida,NB|NS|ON|PE|QC
Carex luzulina,BC
Carex lyngbyei,BC
Carex mackenziei,AB|BC|MB|NB|NS|NT|NU|ON|PE|QC|SK|YT
Carex macloviana,AB|BC|NT|QC|YT
Carex macrocephala,BC
Carex macrochaeta,BC|YT
Carex macrochaeta × Carex spectabilis,BC
Carex magellanica,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Carex marina,MB|NT|NU|ON|QC|YT
Carex maritima,AB|MB|NT|NU|ON|QC|SK|YT
Carex meadii,MB|ON|SK
Carex media,AB|BC|MB|NB|NT|NU|ON|QC|SK|YT
Carex media × Carex norvegica,QC
Carex membranacea,BC|NT|NU|ON|QC|YT
Carex merritt-fernaldii,MB|NB|ON|QC
Carex mertensii,AB|BC
Carex mesochorea,ON
Carex michauxiana,MB|NB|NS|ON|PM|QC|SK
Carex microchaeta,BC|NT|YT
Carex microchaeta × Carex podocarpa,YT
Carex microglochin,AB|BC|MB|NT|NU|ON|QC|YT
Carex micropoda,AB|BC|NT|YT
Carex microptera,AB|BC|MB|NT|SK|YT
Carex molesta,ON|QC
Carex muehlenbergii,ON|QC
Carex muskingumensis,ON
Carex myosuroides,AB|BC|MB|NT|NU|ON|QC|YT
Carex nardina,AB|BC|MB|NT|NU|ON|QC|YT
Carex nebrascensis,AB
Carex nigra,NB|NS|PE|PM|QC
Carex nigricans,AB|BC|YT
Carex nigromarginata,ON
Carex normalis,ON|QC
Carex norvegica,MB|NU|ON|QC|YT
Carex novae-angliae,NB|NS|ON|PM|QC
Carex obnupta,BC
Carex obtusata,AB|BC|MB|NT|ON|SK|YT
Carex oligocarpa,ON|QC
Carex oligosperma,AB|MB|NB|NS|NT|NU|ON|PM|QC|SK|YT
Carex oligosperma × Carex utriculata,ON
Carex ormostachya,NB|NS|ON|QC
Carex pachystachya,AB|BC|SK|YT
Carex paleacea,MB|NB|NS|NU|ON|PE|PM|QC
Carex paleacea × Carex stricta,NS|PE|QC
Carex paleacea × Carex vacillans,NS|PE|QC
Carex pallescens,NB|NS|ON|PE|PM|QC
Carex pansa,BC
Carex parryana,AB|BC|MB|ON|SK|YT
Carex pauciflora,AB|BC|MB|NB|NS|NT|ON|PM|QC|SK|YT
Carex paysonis,AB|BC|YT
Carex peckii,AB|BC|MB|NB|NS|NT|ON|QC|SK|YT
Carex pedunculata,AB|BC|MB|NB|NS|ON|PM|QC|SK
Carex pellita,AB|BC|MB|NB|ON|PM|QC|SK|YT
Carex pensylvanica,MB|ON|QC
Carex petasata,AB|BC|NT|SK|YT
Carex petricosa,AB|BC|NT|NU|QC|YT
Carex phaeocephala,AB|BC|YT
Carex plantaginea,NB|NS|ON|QC
Carex platyphylla,NB|ON|QC
Carex pluriflora,BC
Carex podocarpa,AB|BC|NT|NU|YT
Carex praeceptorum,BC
Carex praegracilis,AB|BC|MB|SK|YT
Carex prairea,AB|BC|MB|NB|NS|NT|ON|QC|SK|YT
Carex prasina,ON|QC
Carex praticola,AB|BC|MB|NS|NT|NU|ON|QC|SK|YT
Carex preslii,AB|BC|YT
Carex projecta,MB|NB|NS|ON|PE|QC|SK
Carex pseudocyperus,AB|MB|NB|NS|ON|PE|QC|SK
Carex radiata,MB|NB|NS|ON|QC
Carex ramenskii,YT
Carex rariflora,MB|NB|NS|NT|NU|ON|PM|QC|YT
Carex raynoldsii,AB|BC|SK|YT
Carex recta,MB|NB|NS|ON|PE|QC
Carex recta × Carex stricta,QC
Carex retroflexa,ON
Carex retrorsa,AB|BC|MB|NB|NS|NT|ON|PE|QC|SK
Carex richardsonii,AB|BC|MB|NT|ON|QC|SK
Carex rosea,MB|NB|NS|ON|QC
Carex rossii,AB|BC|MB|NT|ON|SK|YT
Carex rostrata,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Carex rostrata × Carex saxatilis,PM
Carex rotundata,MB|NT|NU|QC|YT
Carex rotundata × Carex saxatilis,QC
Carex rufina,MB|NU|QC
Carex rupestris,AB|BC|MB|NT|NU|ON|QC|YT
Carex sabulosa,YT
Carex salina,NB|ON|QC
Carex sartwellii,AB|BC|MB|NT|NU|ON|QC|SK|YT
Carex saxatilis,AB|BC|MB|NB|NS|NT|NU|ON|PM|QC|SK|YT
Carex saximontana,AB|MB|ON|SK
Carex scabrata,NB|NS|ON|PE|QC
Carex schweinitzii,ON
Carex schweinitzii × Carex utriculata,ON
Carex scirpoidea,AB|BC|MB|NS|NT|NU|ON|PM|QC|SK|YT
Carex scoparia,AB|BC|MB|NB|NS|ON|PE|PM|QC
Carex scopulorum,AB|BC|YT
Carex seorsa,ON
Carex shortiana,ON
Carex siccata,AB|BC|MB|NT|ON|QC|SK|YT
Carex silicea,NB|NS|PE|QC
Carex simpliciuscula,AB|BC|MB|NT|NU|ON|QC|YT
Carex simulata,AB|BC|SK
Carex sparganioides,ON|QC
Carex spectabilis,AB|BC|YT
Carex sprengelii,AB|BC|MB|NB|ON|QC|SK
Carex squarrosa,ON
Carex sterilis,MB|NU|ON|QC|SK
Carex stipata,AB|BC|MB|NB|NS|ON|PE|PM|QC|SK
Carex stricta,MB|NB|NS|ON|PE|QC
Carex stylosa,BC|QC|YT
Carex suberecta,ON
Carex subspathacea,MB|NT|NU|ON|QC|SK|YT
Carex supina,AB|BC|MB|NT|NU|ON|QC|SK|YT
Carex swanii,NB|NS|ON|QC
Carex sychnocephala,AB|BC|MB|NT|ON|QC|SK|YT
Carex tahoensis,AB|BC|YT
Carex tenera,AB|BC|MB|NB|NS|ON|QC|SK
Carex tenuiflora,AB|BC|MB|NB|NS|NT|NU|ON|PE|QC|SK|YT
Carex tetanica,MB|ON|SK
Carex tincta,AB|NB|NS|ON|PE|QC
Carex tonsa,AB|BC|MB|NB|NS|ON|PE|QC|SK
Carex torreyi,AB|BC|MB|ON|SK
Carex torta,NB|NS|QC
Carex tribuloides,NB|NS|ON|QC
Carex trichocarpa,ON|QC
Carex trisperma,AB|BC|MB|NB|NS|NU|ON|PE|PM|QC|SK
Carex tuckermanii,NB|NS|ON|QC
Carex tumulicola,BC
Carex typhina,ON|QC
Carex umbellata,AB|MB|NB|NS|ON|QC|SK
Carex unilateralis,BC
Carex ursina,MB|NT|NU|ON|QC|YT
Carex utriculata,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Carex utriculata × Carex vesicaria,QC
Carex vacillans,NB|NS|PE|PM|QC
Carex vaginata,AB|BC|MB|NB|NT|NU|ON|QC|SK|YT
Carex vallicola,BC
Carex vesicaria,AB|BC|MB|NB|NS|ON|PE|PM|QC
Carex virescens,ON|QC
Carex viridula,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Carex vulpinoidea,AB|BC|MB|NB|NS|ON|PE|PM|QC|SK
Carex waponahkikensis,NB
Carex wiegandii,NB|NS|ON|PE|PM|QC
Carex willdenowii,ON
Carex williamsii,MB|NT|NU|ON|QC|YT
Carex woodii,ON
Carex xerantica,AB|BC|MB|ON|SK|YT
Carex zikae,BC
Carex ×arctophila,NT|ON|QC
Carex ×cayouettei,QC
Carex ×clausa,YT
Carex ×connectens,QC
Carex ×crinitoides,ON|QC
Carex ×dumanii,ON|QC
Carex ×exsalina,QC
Carex ×firmior,QC
Carex ×flavicans,MB|NT|NU|ON|QC|YT
Carex ×friesii,QC
Carex ×fulva,QC
Carex ×grahamii,NB|NS|ON|PM|QC
Carex ×grantii,ON|QC
Carex ×hartii,QC
Carex ×helvola,YT
Carex ×involuta,QC
Carex ×knieskernii,NB|ON|QC
Carex ×kyyhkynenii,BC
Carex ×langeana,NU|ON|QC
Carex ×limula,NU|QC
Carex ×macounii,ON
Carex ×mendica,ON|QC
Carex ×minganinsularum,QC
Carex ×mirata,ON
Carex ×neofilipendula,ON|QC
Carex ×notholimosioides,QC
Carex ×payettei,QC
Carex ×persalina,ON|QC
Carex ×physocarpoides,BC|QC|SK|YT
Carex ×pieperiana,QC
Carex ×pseudohelvola,NB|QC
Carex ×reducta,QC
Carex ×rollandii,QC
Carex ×saxenii,NB|NS|ON|QC
Carex ×spiculosa,QC
Carex ×subimpressa,ON
Carex ×subpaleacea,ON|QC
Carex ×subrecta,QC
Carex ×subviridula,BC|NB|NS|ON|QC
Carex ×sullivantii,ON
Carex ×trichina,QC
Carex ×xanthocarpa,QC
Carpinus caroliniana,ON|QC
Carya cordiformis,ON|QC
Carya glabra,ON
Carya laciniosa,ON
Carya ovata,ON|QC
Carya ×laneyi,ON|QC
Cassiope lycopodioides,BC
Cassiope mertensiana,AB|BC|YT
Cassiope tetragona,AB|BC|NT|NU|QC|YT
Castanea dentata,ON
Castilleja ambigua,BC
Castilleja attenuata,BC
Castilleja cervina,BC
Castilleja coccinea,MB|ON|SK
Castilleja cusickii,AB|BC
Castilleja elegans,AB|MB|NT|NU|QC|YT
Castilleja elmeri,BC
Castilleja hispida,AB|BC
Castilleja hyperborea,BC|NT|YT
Castilleja levisecta,BC
Castilleja lutescens,AB|BC
Castilleja miniata,AB|BC|MB|SK|YT
Castilleja minor,BC
Castilleja occidentalis,AB|BC
Castilleja pallida,BC|NT|NU|YT
Castilleja parviflora,AB|BC|YT
Castilleja purpurascens,AB|BC
Castilleja raupii,AB|BC|MB|NT|NU|ON|QC|SK|YT
Castilleja rhexiifolia,AB|BC
Castilleja rupicola,BC
Castilleja septentrionalis,AB|BC|MB|NB|NT|NU|ON|QC
Castilleja sessiliflora,AB|MB|SK
Castilleja tenuis,BC
Castilleja thompsonii,BC
Castilleja unalaschcensis,BC|YT
Castilleja victoriae,BC
Catabrosa aquatica,AB|BC|MB|NB|NU|ON|PE|PM|QC|SK
Caulophyllum giganteum,ON|QC
Caulophyllum thalictroides,MB|NB|NS|ON|QC
Ceanothus americanus,ON|QC
Ceanothus herbaceus,MB|ON|QC
Ceanothus sanguineus,BC
Ceanothus velutinus,AB|BC
Celastrus scandens,MB|NB|ON|QC|SK
Celtis occidentalis,MB|ON|QC
Celtis tenuifolia,ON
Cenchrus longispinus,ON
Cephalanthera austiniae,BC
Cephalanthus occidentalis,NB|NS|ON|QC
Cerastium alpinum,MB|NT|NU|ON|QC|SK
Cerastium arcticum,MB|NT|NU|ON|QC
Cerastium arvense,AB|BC|MB|NB|NS|NT|NU|ON|PM|QC|SK|YT
Cerastium beeringianum,AB|BC|MB|NT|NU|ON|QC|SK|YT
Cerastium bialynickii,NT|NU
Cerastium brachypodum,AB|MB|ON
Cerastium cerastoides,NU|QC
Cerastium fischerianum,BC
Cerastium maximum,NT|YT
Cerastium nutans,AB|BC|MB|ON|QC|SK
Cerastium regelii,NT|NU|QC
Cerastium velutinum,ON
Ceratophyllum demersum,AB|BC|MB|NB|NS|NT|ON|PE|QC|SK|YT
Ceratophyllum echinatum,BC|MB|NB|NS|ON|QC
Chaenactis douglasii,AB|BC
Chaerophyllum procumbens,ON
Chaerophyllum shortii,ON
Chamaebuxus paucifolia,AB|MB|NB|ON|QC|SK
Chamaedaphne calyculata,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Chamaelirium luteum,ON
Chamaenerion angustifolium,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Chamaenerion angustifolium subsp. angustifolium × Chamaenerion latifolium,QC
Chamaenerion latifolium,AB|BC|MB|NT|NU|ON|QC|YT
Chamaerhodos erecta,AB|BC|MB|NT|SK|YT
Chelone glabra,MB|NB|NS|ON|PE|PM|QC
Chenopodiastrum simplex,AB|BC|MB|NB|NS|ON|QC|SK
Chenopodium atrovirens,AB|BC|SK
Chenopodium berlandieri,AB|BC|MB|NT|ON|QC|SK|YT
Chenopodium desiccatum,AB|BC|SK
Chenopodium foggii,ON|QC
Chenopodium fremontii,AB|BC|MB|SK
Chenopodium hians,AB|BC|SK|YT
Chenopodium incanum,AB|SK
Chenopodium leptophyllum,AB|BC|NS|ON|SK
Chenopodium nitens,YT
Chenopodium pratericola,AB|BC|MB|NT|ON|SK|YT
Chenopodium standleyanum,ON
Chenopodium subglabrum,AB|BC|MB|SK
Chenopodium watsonii,AB|SK
Cherleria arctica,BC|NT|YT
Cherleria biflora,AB|BC|NT|NU|QC|YT
Cherleria marcescens,QC
Cherleria obtusiloba,AB|BC|NT|YT
Cherleria yukonensis,NT|YT
Chimaphila maculata,ON|QC
Chimaphila menziesii,BC
Chimaphila umbellata,AB|BC|MB|NB|NS|NT|ON|PE|QC|SK|YT
Chrysanthemum arcticum,BC|MB|NT|NU|ON|QC|YT
Chrysosplenium americanum,NB|NS|ON|PE|QC
Chrysosplenium iowense,AB|BC|MB|SK
Chrysosplenium rosendahlii,NU
Chrysosplenium tetrandrum,AB|BC|MB|NT|NU|ON|QC|SK|YT
Chrysosplenium wrightii,BC|NT|YT
Chrysothamnus viscidiflorus,BC
Cicuta bulbifera,AB|BC|MB|NB|NS|NT|NU|ON|PE|QC|SK|YT
Cicuta douglasii,AB|BC|YT
Cicuta maculata,AB|BC|MB|NB|NS|NT|NU|ON|PE|QC|SK|YT
Cicuta virosa,AB|BC|MB|NT|NU|ON|QC|SK|YT
Cinna arundinacea,NB|ON|QC
Cinna latifolia,AB|BC|MB|NB|NS|NT|ON|PE|PM|QC|SK|YT
Circaea alpina,AB|BC|MB|NB|NS|NT|ON|PE|PM|QC|SK|YT
Circaea canadensis,MB|NB|NS|ON|PE|QC
Circaea ×sterilis,MB|NB|NS|ON|PE|QC
Cirsium brevistylum,BC
Cirsium discolor,MB|ON|QC|SK
Cirsium drummondii,AB|BC|MB|NT|ON|SK
Cirsium edule,BC
Cirsium flodmanii,AB|BC|MB|ON|SK
Cirsium foliosum,AB|BC|NT|YT
Cirsium hookerianum,AB|BC
Cirsium minganense,QC
Cirsium muticum,MB|NB|NS|ON|PE|PM|QC|SK
Cirsium pitcheri,ON
Cirsium pumilum,ON
Cirsium scariosum,AB|BC
Cirsium undulatum,AB|BC|MB|SK
Cirsium ×vancouverense,BC
Cistanthe umbellata,BC
Cladium mariscoides,MB|NB|NS|ON|QC|SK
Clarkia amoena,BC
Clarkia pulchella,BC
Clarkia purpurea,BC
Clarkia rhomboidea,BC
Claytonia caroliniana,NB|NS|ON|PE|PM|QC
Claytonia cordifolia,BC
Claytonia exigua,BC
Claytonia lanceolata,AB|BC|SK
Claytonia megarhiza,AB|BC|NT|YT
Claytonia multiscapa,BC
Claytonia ogilviensis,YT
Claytonia parviflora,BC
Claytonia perfoliata,BC
Claytonia rubra,BC
Claytonia sarmentosa,BC|YT
Claytonia scammaniana,YT
Claytonia sibirica,BC
Claytonia tuberosa,BC|NT|YT
Claytonia virginica,ON|QC
Claytonia washingtoniana,BC
Claytosmunda claytoniana,MB|NB|NS|ON|PE|PM|QC
Clematis ligusticifolia,AB|BC|MB|SK
Clematis occidentalis,AB|BC|NB|NS|ON|QC|SK
Clematis virginiana,MB|NB|NS|ON|PE|QC
Clethra alnifolia,NS
Clinopodium arkansanum,ON
Clinopodium douglasii,BC
Clinopodium vulgare,NB|NS|ON|PM|QC
Clintonia borealis,MB|NB|NS|ON|PE|PM|QC
Clintonia uniflora,AB|BC
Cnidium cnidiifolium,BC|NT|YT
Cochlearia groenlandica,BC|MB|NT|NU|ON|QC|YT
Cochlearia tridactylites,NS|PM|QC
Coeloglossum viride,AB|BC|MB|NB|NS|NT|ON|QC|SK|YT
Coleanthus subtilis,BC|NT
Coleataenia longifolia,NS
Coleataenia rigidula,ON
Collinsia grandiflora,BC
Collinsia parviflora,AB|BC|MB|ON|SK|YT
Collinsonia canadensis,ON
Collomia grandiflora,BC
Collomia heterophylla,BC
Collomia linearis,AB|BC|MB|ON|SK
Collomia tenella,BC
Comandra umbellata,AB|BC|MB|NB|NS|NT|ON|PE|QC|SK|YT
Comarum palustre,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Comastoma tenellum,NT|NU|ON|QC|YT
Comptonia peregrina,NB|NS|ON|PE|QC
Conimitella williamsii,AB
Conioselinum chinense,NB|NS|ON|PE|PM|QC
Conioselinum pacificum,BC
Conopholis americana,MB|NS|ON|QC
Coptidium lapponicum,AB|BC|MB|NB|NT|NU|ON|QC|SK|YT
Coptidium pallasii,MB|NT|NU|ON|QC|YT
Coptidium ×spitsbergense,NT|NU|QC
Coptis aspleniifolia,BC
Coptis trifolia,AB|BC|MB|NB|NS|NU|ON|PE|PM|QC|SK
Corallorhiza maculata,AB|BC|MB|NB|NS|ON|PE|PM|QC|SK
Corallorhiza mertensiana,AB|BC
Corallorhiza odontorhiza,ON|QC
Corallorhiza striata,AB|BC|MB|ON|QC|SK
Corallorhiza trifida,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Corema conradii,NS|PE|QC
Coreopsis lanceolata,ON
Coreopsis rosea,NS
Coreopsis tinctoria,AB|BC|MB|SK
Coreopsis tripteris,ON
Corispermum americanum,AB|BC|MB|ON|SK
Corispermum hookeri,AB|BC|MB|NT|ON|SK
Corispermum ochotense,NT|SK|YT
Corispermum pallasii,AB|MB|ON|SK|YT
Corispermum villosum,AB|MB|ON|SK
Cornus alternifolia,MB|NB|NS|ON|PE|PM|QC
Cornus canadensis,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Cornus drummondii,ON
Cornus florida,ON
Cornus nuttallii,BC
Cornus obliqua,NB|ON|QC
Cornus occidentalis,BC
Cornus racemosa,MB|ON|QC
Cornus rugosa,MB|NB|NS|ON|PE|QC
Cornus sericea,AB|BC|MB|NB|NS|NT|NU|ON|PE|PM|QC|SK|YT
Cornus suecica,BC|MB|NS|NT|PM|QC
Cornus unalaschkensis,AB|BC|YT
Cornus ×acadiensis,NS
Cornus ×arnoldiana,ON
Cornus ×lepagei,NS|PM|QC
Cornus ×slavinii,NS|ON
Corydalis aurea,AB|BC|MB|NT|ON|QC|SK|YT
Corydalis flavula,ON
Corydalis pauciflora,BC|NT|YT
Corydalis scouleri,BC
Corylus americana,MB|ON|QC
Corylus cornuta,AB|BC|MB|NB|NS|ON|PE|PM|QC|SK
Coryphopteris simulata,NB|NS|ON|QC
Crassula aquatica,BC|NB|NS|NT|ON|PE|PM|QC|SK|YT
Crassula connata,BC
Crataegus aquacervensis,AB|SK
Crataegus atrovirens,BC
Crataegus beata,ON
Crataegus brainerdii,NB|NS|ON|QC
Crataegus calpodendron,ON
Crataegus canadensis,QC
Crataegus castlegarensis,AB|BC|SK
Crataegus chrysocarpa,AB|BC|MB|NB|NS|ON|PE|QC|SK
Crataegus coccinea,ON
Crataegus coccinioides,ON|QC
Crataegus cognata,ON
Crataegus compacta,ON
Crataegus crus-galli,NS|ON|QC
Crataegus cupressocollina,AB|SK
Crataegus dodgei,ON
Crataegus douglasii,AB|BC|ON|SK
Crataegus enderbyensis,BC
Crataegus flabellata,NB|NS|ON|QC
Crataegus florifera,ON
Crataegus fluviatilis,ON|QC
Crataegus formosa,ON
Crataegus holmesiana,ON|PE|QC
Crataegus intricata,NS|ON
Crataegus irrasa,ON|QC
Crataegus jesupii,ON
Crataegus jonesiae,NB|NS|PE
Crataegus lumaria,ON
Crataegus macracantha,AB|BC|MB|NB|ON|QC|SK
Crataegus macrosperma,NB|NS|ON|QC
Crataegus magniflora,ON
Crataegus margaretta,ON
Crataegus mollis,NS|ON|QC
Crataegus nitidula,ON
Crataegus okanaganensis,BC
Crataegus okennonii,BC
Crataegus orbicularis,BC
Crataegus pennsylvanica,ON
Crataegus perjucunda,ON
